Fuel Type Code,Station Name,Street Address,City,State,ZIP
ELEC,City of Sacramento - Capitol Parking Garage,1015 L St,Sacramento,CA,95814
ELEC,Los Angeles Convention Center,1201 S Figueroa St,Los Angeles,CA,90015
ELEC,Cherokee & Hollywood Parking Garage,1718 N Cherokee Ave,Los Angeles,CA,90028
ELEC,CITYOFSANTAROSA,100 Santa Rosa Ave,Santa Rosa,CA,95404
ELEC,California Air Resources Board,9530 Telstar Ave,El Monte,CA,91731
ELEC,Scripps Green Hospital,10666 N Torrey Pines Rd,La Jolla,CA,92037
ELEC,Santa Monica Place Mall Garage #7 - Civic Center - First Floor,395 Broadway,Santa Monica,CA,90401
ELEC,San Diego Wild Animal Park,15500 San Pasqual Valley Rd,Escondido,CA,92027
ELEC,Galpin Motors,15421 Roscoe Blvd,Sepulveda,CA,91343
ELEC,Galleria at Tyler,1299 Galleria at Tyler,Riverside,CA,92503
ELEC,City of Pasadena - Holly Street Garage,150 E Holly St,Pasadena,CA,91103
ELEC,City of Pasadena - De Lacey Garage,45 De Lacey Ave,Pasadena,CA,91105
ELEC,City of Pasadena - Schoolhouse Garage,33 E Green St,Pasadena,CA,91105
ELEC,Pasadena Hilton,150 S Los Robles,Pasadena,CA,91101
ELEC,Bristol Farms,606 Fair Oaks Ave,South Pasadena,CA,91030
ELEC,Hyatt Regency Long Beach,200 S Pine Ave,Long Beach,CA,90802
ELEC,Los Angeles International Airport (LAX) - Lot 6,1 World Way,Los Angeles,CA,90045
ELEC,Northridge Fashion Center - Yard House,9301 Tampa Ave,Northridge,CA,91324
ELEC,Ontario Airport Hilton,700 N Haven Ave,Ontario,CA,91764
ELEC,Courtyard Marriott - Oxnard Ventura,600 E Esplanade Dr,Oxnard,CA,93030
ELEC,Hilton - Palm Springs,400 E Tahquitz Canyon Way,Palm Springs,CA,92262
ELEC,East Bay Mini,4340 Rosewood Dr,Pleasanton,CA,94588
ELEC,CNTYOFRIVERSIDE,3535 12th Street,Riverside,CA,92501
ELEC,Inland Empire Foods,5425 Wilson St,Riverside,CA,92509
ELEC,Sacramento International Airport - Daily A Lot,Lindbergh Dr,Sacramento,CA,95837
ELEC,City of Santa Monica - Airport,3223 Donald Douglas Loop,Santa Monica,CA,90405
ELEC,City of Santa Monica - Pier,200 Santa Monica Pier,Santa Monica,CA,90405
ELEC,Westfield Fashion Square,14006 Riverside Dr,Sherman Oaks,CA,91423
ELEC,City of Temecula - 6th Street Lot,28462 Front St,Temecula,CA,92590
ELEC,Universal City Hilton,333 Universal Terrace Pkwy,Universal City,CA,91608
ELEC,Van Nuys Amtrak/Metrolink Station,7724 Van Nuys Blvd,Van Nuys,CA,91405
ELEC,Office Max - Home Depot,7075 Firestone Blvd,Downey,CA,90241
ELEC,City of Lancaster - City Hall,44933 Fern Ave,Lancaster,CA,93534
ELEC,Hyatt at Fisherman's Wharf,555 N Point St,San Francisco,CA,94133
ELEC,Japan Center Garage,1610 Geary Blvd,San Francisco,CA,94115
ELEC,Saint Mary's Square Garage,433 Kearny St,San Francisco,CA,94104
