State,StateName,SQMiles,Latitude,Longitude
AL,Alabama,50646.16605,32.7436859,-86.8467951
AK,Alaska,571027.3717,63.4130518,-152.8796317
AZ,Arizona,113653.1065,34.2751017,-111.6605337
AR,Arkansas,51999.76245,34.8941724,-92.4418434
CA,California,155857.3039,37.1547585,-119.5277714
CO,Colorado,103636.2068,38.9976179,-105.547828
CT,Connecticut,4842.603185,41.5751437,-72.7393081
DE,Delaware,1948.548475,38.993257,-75.4514104
FL,Florida,53650.57346,28.4062029,-82.5022125
GA,Georgia,57716.66991,32.6279417,-83.4165286
HI,Hawaii,6422.423375,21.0508739,-157.9936887
ID,Idaho,82645.10892,44.3524056,-114.613683
IL,Illinois,55513.68634,40.1006009,-89.1500886
IN,Indiana,35825.91902,39.9060003,-86.2872673
IA,Iowa,55852.53803,42.0753593,-93.4958531
KS,Kansas,81758.48942,38.4938959,-98.3786217
KY,Kentucky,39491.43579,37.5351932,-85.3018425
LA,Louisiana,43205.41805,30.9025909,-91.7982287
ME,Maine,30844.89448,45.261088,-69.2136624
MD,Maryland,9711.181412,38.9463607,-76.6789663
MA,Massachusetts,7800.921579,42.161849,-71.4975238
MI,Michigan,56606.12629,44.8382252,-85.6650495
MN,Minnesota,79626.48893,46.3167433,-94.1982395
MS,Mississippi,46923.82985,32.6972945,-89.6552498
MO,Missouri,68746.56729,38.3569819,-92.4580631
MT,Montana,145550.2774,47.0526547,-109.6328844
NE,Nebraska,76817.79545,41.5381064,-99.794977
NV,Nevada,109860.3239,39.3292324,-116.6313443
NH,New Hampshire,8953.730484,43.674033,-71.5738494
NJ,New Jersey,7354.669754,40.1050608,-74.6580449
NM,New Mexico,121312.2876,34.4075787,-106.1126593
NY,New York,47123.92214,42.9198015,-75.5942771
NC,North Carolina,48622.85726,35.5401758,-79.1299304
ND,North Dakota,68995.83144,47.4504657,-100.4660576
OH,Ohio,40858.83618,40.4097377,-82.7168504
OK,Oklahoma,68596.56441,35.5885699,-97.4947176
OR,Oregon,95995.72665,43.9396009,-120.6109265
PA,Pennsylvania,44742.20857,40.901132,-77.8369304
RI,Rhode Island,1033.887022,41.5940253,-71.5247212
SC,South Carolina,30064.13523,33.8758236,-80.8583136
SD,South Dakota,75809.59515,44.4445675,-100.2270264
TN,Tennessee,41232.30002,35.8582556,-86.3490784
TX,Texas,261266.7407,31.4277553,-99.289083
UT,Utah,82376.79807,39.3063102,-111.6703458
VT,Vermont,9217.450592,44.0693396,-72.6660634
VA,Virginia,39482.08064,37.5182631,-78.6759174
WA,Washington,66455.03192,47.4148772,-120.5954943
WV,West Virginia,24041.1476,38.641186,-80.6234555
WI,Wisconsin,54167.38226,44.627321,-89.7098065
WY,Wyoming,97088.66221,42.9960999,-107.5514568
